BHK,Rent,Size,City,Furnishing Status,Tenant Preferred,Bathroom,Floor Group
2,10000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,20000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,17000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,10000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,7500,850,Kolkata,Unfurnished,Bachelors,1,Lower Floor
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,10000,0,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
1,5000,0,Kolkata,Unfurnished,Bachelors,1,Lower Floor
2,26000,800,Kolkata,Unfurnished,Bachelors,2,Lower Floor
2,10000,1000,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,25000,1200,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,5000,400,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
1,6500,250,Kolkata,Furnished,Bachelors,1,Lower Floor
1,5500,375,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
3,8500,900,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
3,40000,1286,Kolkata,Furnished,Bachelors/Family,2,Upper Floor
2,6000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,10000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,11000,2000,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,6000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,7900,650,Kolkata,Unfurnished,Family,1,Lower Floor
2,9000,400,Kolkata,Unfurnished,Bachelors,2,Upper Floor
1,4000,300,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,6500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,8000,0,Kolkata,Semi-Furnished,Bachelors,1,Lower Floor
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
1,5300,355,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,6000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,8500,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,12500,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
1,7500,350,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,15000,900,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,6000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,5000,500,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
3,22000,1100,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,15000,850,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,12500,800,Kolkata,Unfurnished,Bachelors,1,Upper Floor
2,7000,630,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
2,21000,900,Kolkata,Semi-Furnished,Bachelors,2,Lower Floor
1,10000,270,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
